Using database connection: sec_user@localhost:5432/sec_data
         56963 function calls (55375 primitive calls) in 0.674 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        2    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        4    0.000    0.000    0.000    0.000 cursor.py:497(_merge_cursor_description)
        3    0.000    0.000    0.000    0.000 query.py:1991(<listcomp>)
        1    0.000    0.000    0.000    0.000 context.py:2817(setup_compile_state)
        2    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
      852    0.000    0.000    0.000    0.000 weakref.py:454(__contains__)
        9    0.000    0.000    0.000    0.000 selectable.py:1450(<listcomp>)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.000    0.000 loading.py:745(_setup_entity_query)
        1    0.000    0.000    0.000    0.000 compiler.py:5024(_compose_select_body)
        6    0.000    0.000    0.000    0.000 result.py:749(_only_one_row)
       38    0.000    0.000    0.000    0.000 elements.py:1515(__getattr__)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        9    0.000    0.000    0.000    0.000 relationships.py:2867(_annotate_parentmapper)
       80    0.000    0.000    0.000    0.000 __init__.py:194(_is_internal_frame)
       81    0.000    0.000    0.000    0.000 visitors.py:455(get_children)
       38    0.000    0.000    0.000    0.000 strategies.py:202(__init__)
       23    0.000    0.000    0.000    0.000 schema.py:3049(get_referent)
       17    0.000    0.000    0.000    0.000 relationships.py:1846(_setup_entity)
        6    0.000    0.000    0.000    0.000 traversals.py:960(compare_binary)
        9    0.000    0.000    0.000    0.000 relationships.py:2972(_determine_direction)
        6    0.000    0.000    0.000    0.000 structures.py:40(__init__)
        1    0.000    0.000    0.000    0.000 adapters.py:423(get_connection_with_tls_context)
        3    0.000    0.000    0.000    0.000 attributes.py:450(operate)
       50    0.000    0.000    0.000    0.000 response.py:475(_init_decoder)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:941(update)
   110/20    0.000    0.000    0.000    0.000 langhelpers.py:505(get_cls_kwargs)
        3    0.000    0.000    0.000    0.000 loading.py:114(<listcomp>)
        1    0.000    0.000    0.000    0.000 connection.py:418(request)
        3    0.000    0.000    0.000    0.000 properties.py:476(operate)
       39    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       37    0.000    0.000    0.000    0.000 attr.py:332(for_modify)
       11    0.000    0.000    0.000    0.000 interfaces.py:1067(setup)
        3    0.000    0.000    0.000    0.000 result.py:1782(first)
       27    0.000    0.000    0.000    0.000 relationships.py:2858(locals_)
       44    0.000    0.000    0.000    0.000 attributes.py:1226(__init__)
        3    0.000    0.000    0.000    0.000 context.py:2771(row_processor)
       12    0.000    0.000    0.000    0.000 traversals.py:576(compare_inner)
      326    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
        1    0.000    0.000    0.000    0.000 weakref.py:585(__call__)
      289    0.000    0.000    0.000    0.000 weakref.py:414(__getitem__)
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       20    0.000    0.000    0.000    0.000 __init__.py:606(formatTime)
       13    0.000    0.000    0.000    0.000 default.py:1796(get_result_processor)
        9    0.000    0.000    0.000    0.000 relationships.py:1672(_process_dependent_arguments)
  806/758    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       10    0.000    0.000    0.000    0.000 elements.py:4603(_tq_label)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1170(_close_pool_connections)
        3    0.000    0.000    0.000    0.000 cursor.py:626(<listcomp>)
       63    0.000    0.000    0.000    0.000 elements.py:417(_clone)
        9    0.000    0.000    0.000    0.000 relationships.py:2541(_has_foreign_annotations)
       23    0.000    0.000    0.000    0.000 base.py:1844(corresponding_column)
       20    0.000    0.000    0.000    0.000 __init__.py:658(formatMessage)
       13    0.000    0.000    0.000    0.000 type_api.py:934(_cached_result_processor)
       10    0.000    0.000    0.000    0.000 elements.py:5019(_gen_tq_label)
        1    0.000    0.000    0.000    0.000 adapters.py:336(build_response)
        1    0.000    0.000    0.000    0.000 poolmanager.py:292(connection_from_host)
        6    0.000    0.000    0.000    0.000 series.py:1104(__getitem__)
       14    0.000    0.000    0.000    0.000 interfaces.py:1026(_get_context_loader)
       59    0.000    0.000    0.000    0.000 mapper.py:2470(_log)
       80    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
